statename,unique_id,reporter,address,city,state,zip_code,county,avert_region,lat,lon,first_permit_issue_year,latest_permit_issue_year,data_center_construct_year,new_permit_or_existing_update,number_of_buildings,company,brand,brand_source_url,private_equity_or_asset_manager,private_equity_or_asset_manager_source,generator_type,of_tier_2,of_tier_3,of_tier_4,vocs_tpy,nox_tpy,co_tpy,sox_tpy,pm_tpy,pm2_5_tpy,pm10_tpy,co2e_tpy,rate_capacity_original,total_generator_rate_capacity_kw,estimate_power_consumption_in_kw_hr_calculated_30,estimate_power_consumption_in_kw_hr_calculated_50,estimate_power_consumption_in_kw_hr_calculated_60,size_category_at_30,size_category_at_50_capacity_large_vs_small,size_category_at_50_capacity,size_category_at_60,reporter_notes,page,size_capacity_over_100_mw,records_link,water_stress,water_requested,daily_water_consumption_gallons,annual_water_consumption_gallons,water_notes,water_record_link,number_of_epa_enforcements,total_penalties_assessed,primary_law,case_status_desc,major_basin_name,minor_basin_name,aquifer_name,us_environmental_justice_concern,state_environmental_justice_concern,total_population_within_1_mile_of_site,us_percentile_for_ej_index_for_particulate_matter,us_percentile_for_ej_index_for_ozone,us_percentile_for_ej_index_for_nitrogen_dioxide_no2,us_percentile_for_ej_index_for_diesel_particulate_matter,us_percentile_for_ej_index_for_toxic_releases_to_air,us_percentile_for_ej_index_for_traffic_proximity_and_volume,us_percentile_for_ej_index_for_lead_paint_indicator,us_percentile_for_ej_index_for_superfund_proximity,us_percentile_for_ej_index_for_rmp_proximity,us_percentile_for_ej_index_for_hazardous_waste_proximity,us_percentile_for_ej_index_for_underground_storage_tanks_ust_indicator,us_percentile_for_ej_index_for_wastewater_discharge_indicator,us_percentile_for_ej_index_for_drinking_water_non_compliance,state_percentile_for_ej_index_for_particulate_matter,state_percentile_for_ej_index_for_ozone,state_percentile_for_ej_index_for_nitrogen_dioxide_no2,state_percentile_for_ej_index_for_diesel_particulate_matter,state_percentile_for_ej_index_for_toxic_releases_to_air,state_percentile_for_ej_index_for_traffic_proximity_and_volume,state_percentile_for_ej_index_for_lead_paint_indicator,state_percentile_for_ej_index_for_superfund_proximity,state_percentile_for_ej_index_for_rmp_proximity,state_percentile_for_ej_index_for_hazardous_waste_proximity,state_percentile_for_ej_index_for_underground_storage_tanks_ust_indicator,state_percentile_for_ej_index_for_wastewater_discharge_indicator,state_percentile_for_ej_index_for_drinking_water_non_compliance,population_within_1_mile_radius_10_000,population_within_1_mile_radius_5_000,estimated_at_2n,estimated_at_n_1,estimated_at_2n_in_twh,estimated_at_n_1_in_twh,estimated_data_center_electricity_use_in_terrawatt_hours_a_year_at_50_capacity,estimated_data_center_electricity_use_in_megawatt_hours_at_50_capacity,,large_facilites,facilities_note
Virginia,1280,Narimes,"Roanoke River Regional Business Park, La Crosse, VA 23950",La Crosse,VA,23950,Mecklenberg,Mid-Atlantic,36.70040857,-78.0614885,2022,2022,,New,,Microsoft Corporation,Microsoft,in the name itself,,,Cummins,,,,4.5,97.4,8.4,-,4.2,3.7,3.8,,260676 HP,194386,58316,97193,"116,632",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,63 engines: 60@4308 BHP and 3@732 BHP,,-,52973_DC_Permit_2022.pdf,High (40-80%),-,-,-,-,-,-,-,-,-,"Gulf of Mexico, North Atlantic Coast",Meheriin,-,no,no,68.0,27,8,35,48,37,32,69,0,0,0,69,51,0,55,6,45,49,56,39,80,0,0,0,67,46,0,"fewer than 10,000","fewer than 5,000",48596.5,77754.4,0.426,0.681,0.85,97.19,63175.45,Possible hyperscaler,
Texas,1189,Rosemarie,"4251 County Road 132, Hutto TX 78634",Hutto,TX,78634,Williamson,Texas,30.53865879,-97.51797643,2023,2024,,Existing update,,Hutto Data Center Campus LLC,Skybox,in permit,,,,,,,6.79,99.53,23.69,-,2.59,2.62,2.62,,,193800,58140,96900,"116,280",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,note: permit covers several possible generator models - figure is from p. 75 for the lowest possible 3230kWe at 60 generators for both facilities,,-,"4251 County Road 132, Hutto TX 78634",Medium - High (20-40%),-,-,-,-,-,-,-,-,-,Gulf Coast,San Gabriel,-,no,no,45.0,44,37,14,18,4,18,27,0,39,25,32,32,76,31,18,7,13,4,12,39,0,20,23,14,29,75,"fewer than 10,000","fewer than 5,000",48450,77520,0.424,0.679,0.85,96.9,62985,Possible hyperscaler,
Texas,1188,Rosemarie,"2008 Lookout Drive, Garland TX 75044",Garland,TX,75044,Dallas,Texas,32.98236367,-96.65743262,2023,2023,,New,,"NTT Global Data Centers Americas, Inc. [TX1, TX2, and TX3]",NTT,in permit,,,,,,,3.52,21.82,8.06,0.03,2.16,2.16,2.16,,,192750,57825,96375,"115,650",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,TX1 - 15 @ 2250kWe; TX2 - 24 @ 3250kWe + 1 @ 1500kWe; TX3 - 24 @ 3250kWe and 1 @ 1500kWe,,-,"2008 Lookout Drive, Garland TX 75044",High (40-80%),-,-,-,-,-,-,-,-,-,Gulf Coast,East Fork Trinity,-,no,no,8554.0,69,71,70,62,49,64,17,0,74,66,49,52,80,51,57,50,56,48,59,34,0,60,64,31,46,78,"fewer than 10,000","More than 5,000",48187.5,77100,0.422,0.675,0.84,96.38,62643.75,Possible hyperscaler,
Pennsylvania,857,Yuheng,"1091 Salem Blvd, Berwick, PA 18603",Berwick,PA,18603,Luzerne,Mid-Atlantic,41.074289,-76.148142,2022,2023,,Existing update,,Cumulus LLC,Amazon,https://www.datacenterdynamics.com/en/news/aws-acquires-talens-nuclear-data-center-campus-in-pennsylvania/,,,Caterpillar & MTU,,,,-,,,-,,,,,,192000,57600,96000,"115,200",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"THIS IS NUCLEAR POWERED SITE at 960 MW; backup = sixty-four (64) emergency generators that will each be driven by a stationary diesel fuel-fired reciprocating internal combustion engine (RICE). The emergency engine options considered for installation include: CAT 3516E 3.0 MW (4,393 BHP) MTU 20V4000 3.5 MW (4,680 BHP) Kohler KD3000 3.0 MW (4,332 BHP) (Missing specific quatities for each model)",,-,Talen Energy Cumulus Data Salem Luzerne Co.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Upper Susquehanna / Tunkhannock / Lackawanna,-,no,no,365.0,25,11,8,14,13,11,39,0,0,16,27,48,75,23,7,8,13,5,11,34,0,0,8,16,58,85,"fewer than 10,000","fewer than 5,000",48000,76800,0.42,0.673,0.84,96,62400,Possible hyperscaler,
Arizona,37,Narimes,"3740 S Signal Butte Rd, Mesa AZ 85212",Mesa,AZ,85212,Maricopa,Southwest,33.34719581,-111.6040695,2020,2022,,Existing update,,Platypus Development LLC,Apple,https://www.sec.gov/Archives/edgar/data/1394954/000144530514004770/a8-kapplesettlementagreeme.htm,,,Caterpillar,51,,,-,90.0,,-,,,,,249715 HP,186212,55864,93106,"111,727",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"eight emergency generators rated at 3604 HP, two rated at 2206 HP, one rated at 762 HP, one rated at 1141 HP, fifty seven rated at 5646 HP",5,-,Apple - Platypus Development LLC.docx,Extremely High (>80%),denied,-,-,-,-,-,-,-,-,"North America, Colorado",Middle Gila,-,no,no,9026.0,25,62,47,45,51,42,15,66,41,33,38,50,79,35,52,27,32,55,33,48,68,44,39,36,32,68,"fewer than 10,000","More than 5,000",46553,74484.8,0.408,0.652,0.82,93.11,60518.9,Possible hyperscaler,
Virginia,1003,Yuheng,"14300 John Marshall Hwy, Gainesville, VA 20155",Gainesville,VA,20155,Prince William,Mid-Atlantic,38.80126801,-77.61193546,2023,2023,,New,,"NTT Global Data Centers VA10, LLC",NTT,in the name itself,,,Cummins,,,,8.31,94.19,15.53,-,,4.09,4.09,,,183500,55050,91750,"110,100",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"Fifty-six (56) Cummins Model C3250D6e emergency diesel engine gen-sets 4,701 bhp 3,250 ekW (each); One (1) Cummins Model DQGAF emergency diesel engine gen-set 2,220 bhp 1,500 ekW",,-,74260- mNSR_37111548.pdf,High (40-80%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Anacostia / Occoquan,-,no,no,8776.0,30,26,58,60,12,52,15,0,40,17,63,74,0,70,67,70,67,10,58,18,0,64,19,66,78,0,"fewer than 10,000","More than 5,000",45875,73400,0.402,0.643,0.8,91.75,59637.5,Possible hyperscaler,
Arizona,13,Yuheng,"2455 S Price Rd, Chandler, AZ 85286",Chandler,AZ,85286,Maricopa,Southwest,33.26956901,-111.8889824,2022,2022,,New,,"Aligned Energy Data Centers (Chandler), LLC",Aligned Data Centers,https://aligneddc.com/phoenix/,Macquarie,https://aligneddc.com/aligned-energy-announces-new-strategic-investment-by-macquarie-infrastructure-partners/,Caterpillar,56,,,-,19.0,,-,,,,,245056,182738,54821,91369,"109,643",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"PROPOSED. Nothing has been installed yet. Potential: 56@ Caterpillar Model C175-16 or 3516E, diesel fired",,-,Aligned Energy Data Centers 3.pdf,Extremely High (>80%),pending,-,[in progress],-,-,-,-,-,-,"North America, Colorado",Middle Gila,-,no,no,5673.0,63,72,60,66,47,64,15,0,61,59,35,11,0,67,44,40,61,44,60,48,0,63,67,35,13,0,"fewer than 10,000","More than 5,000",45684.56,73095.29,0.4,0.64,0.8,91.37,59389.92,Possible hyperscaler,
Oregon,830,Hannah,"4735 NE Starr Boulevard, Hillsboro, OR 97124",Hillsboro,OR,97124,Washington,Northwest,45.55441293,-122.9379236,2021,2023,,Existing update,,SI POR03A-C - (formerly -STACK/SI PORL02),Stack Infrastructure,34-0245 Application 34514.pdf,,,,,,,4.34,99.02,20.75,-,,5.45,5.45,7291.0,,182500,54750,91250,"109,500",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,60 generators at 3 MW; 2 at 1250 kW,,-,34-0245 Application 34514.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,Columbia and Northwestern United States,Tualatin,-,no,no,56.0,11,1,5,6,6,6,16,0,29,17,0,8,0,3,3,7,7,8,8,14,0,31,22,0,8,0,"fewer than 10,000","fewer than 5,000",45625,73000,0.4,0.639,0.8,91.25,59312.5,Possible hyperscaler,
Virginia,976,Yuheng,"39 Commerce Drive Boydton, VA 23917",Boydton,VA,23917,Mecklenberg,Mid-Atlantic,36.6347898,-78.51583167,2023,2023,,New,,Microsoft Corporation â AVC17 Datacenter,Microsoft,in the name itself,,,Cummins,,,,4.5,96.9,6.9,-,3.7,3.7,3.7,,,181500,54450,90750,"108,900",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"Sixty (60) Cummins Model C3000 D6e QSK95 series backup engine-generator sets 4,307 bhp 3,000 kWe, each; Three (3) Cummins Model DFEK QSX15 series backup engine-generator sets 732 bhp 500 kWe, each",,-,53086-1 MS AVC17 NSR Air Permit _27872991.pdf,Medium - High (20-40%),-,-,-,-,-,-,-,-,-,"Gulf of Mexico, North Atlantic Coast",Lower Roanoke,-,no,no,57.0,28,5,16,24,62,13,68,0,0,0,55,80,,66,3,24,22,80,17,79,0,0,0,41,85,,"fewer than 10,000","fewer than 5,000",45375,72600,0.397,0.636,0.79,90.75,58987.5,Possible hyperscaler,
Iowa,544,Yuheng,"10420 Bunge Avenue, Council Bluffs, IA 51503",Council Bluffs,IA,51503,Pottawattamie,Midwest,41.16795967,-95.79483363,2018,2023,,Existing update,,Gable Corporation,Google,email <google.com> in permit; https://www.google.com/about/datacenters/locations/council-bluffs,,,,,,,-,249.43,,-,,,,,242160 hp,180579,54174,90289,"108,347",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,60 @4036 hp Diesel-fired IC Engine,,-,18A523S3_EP-E-2-n_CAP.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,Mississippi - Missouri,Big Papillion / Mosquito,-,no,yes,32.0,28,22,15,28,44,42,43,66,58,33,35,47,76,50,11,19,54,55,58,29,80,64,61,29,71,95,"fewer than 10,000","fewer than 5,000",45144.67,72231.47,0.395,0.633,0.79,90.29,58688.07,Possible hyperscaler,
Utah,937,Narimes,"10427 North 11170 West, Lehi, UT 84043",Lehi,UT,84043,Utah,Northwest,40.44154904,-111.8749598,2011,2016,,Existing update,,National Security Agency,US National Security Agency,NSA!! in permit!!,,,Caterpillar,,,,7.68,38.31,39.0,0.59,,1.8,1.8,482130.0,,180200,54060,90100,"108,120",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"sixty emergency generators at 3,000kW each, and one safety emergency generator at 200kW (pg 4); this permit is the one establishing the data center as a new facility",,-,14354 DAQ-2016-013733 - 0901a0688068ce6e.pdf,High (40-80%),-,-,-,-,-,-,-,-,-,Great Basin,Jordan,-,no,no,7910.0,39,59,34,41,57,41,19,56,38,32,44,55,0,64,52,28,52,62,50,36,44,29,45,45,48,0,"fewer than 10,000","More than 5,000",45050,72080,0.395,0.631,0.79,90.1,58565,Possible hyperscaler,
Virginia,946,Yuheng,"24171 Youngwood Ln, Aldie, VA 20105",Aldie,VA,20105,Loudoun,Mid-Atlantic,38.95019685,-77.54978364,2023,2024,,Existing update,,Yondr JK 2 LLC,Yondr,in the name itself,,,MTU,,,,19.78,94.49,35.82,-,,5.43,5.43,,,180000,54000,90000,"108,000",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"(40) MTU Model 16V4000G84S emergency diesel engine gen-sets 2,250 ekW 3,357 bhp (each); (2024 permit) added 40 MTU engines rated at 2,250ekW each.",,-,74265_DC_Permit_2024.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Catoctin,-,no,no,4156.0,33,41,52,57,15,42,18,0,0,40,62,25,0,76,77,64,63,14,45,22,0,0,50,63,24,0,"fewer than 10,000","fewer than 5,000",45000,72000,0.394,0.631,0.79,90,58500,Possible hyperscaler,
Virginia,1086,Hannah,"22631 Dulles Summit Court, Sterling, VA 20166",Sterling,VA,20166,Loudoun,Mid-Atlantic,38.9918926,-77.44861339,2016,2024,,Existing update,,"Amazon Data Services, Inc.",Amazon,in the name itself,,,Caterpillar,,,,-,,,-,,,,,MULTIPLE PERMITED,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,same permit as 22630 Dulles Summit Court,,over 100 MW,73860_DC_Permit_2024.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Catoctin,-,no,no,21.0,33,47,61,62,36,58,24,73,0,59,58,71,0,78,80,74,71,60,66,28,79,0,75,57,75,0,"fewer than 10,000","fewer than 5,000",44000,70400,0.385,0.617,0.77,88,57200,multiple permited,1 of 4 facilities
Virginia,1086,Hannah,"22651 Dulles Summit Court, Sterling, VA 20166",Sterling,VA,20166,Loudoun,Mid-Atlantic,38.99087439,-77.44880585,2016,2024,,Existing update,,"Amazon Data Services, Inc.",Amazon,,,,Caterpillar,,,,-,,,-,,,,,MULTIPLE PERMITED,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,same permit as 22630 Dulles Summit Court,,over 100 MW,73860_DC_Permit_2024.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Catoctin,-,no,no,21.0,33,47,61,62,36,58,24,73,0,59,58,71,0,78,80,74,71,60,66,28,79,0,75,57,75,0,"fewer than 10,000","fewer than 5,000",44000,70400,0.385,0.617,0.77,88,57200,multiple permited,1 of 4 facilities
Virginia,1086,Hannah,"22520 Randolph Drive, Sterling, VA 20166",Sterling,VA,20166,Loudoun,Mid-Atlantic,38.99396675,-77.45053859,2016,2024,,Existing update,,"Amazon Data Services, Inc.",Amazon,,,,Caterpillar,,,,-,,,-,,,,,MULTIPLE PERMITED,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,same permit as 22630 Dulles Summit Court,,over 100 MW,73860_DC_Permit_2024.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Catoctin,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"fewer than 10,000",,44000,70400,0.385,0.617,0.77,88,57200,multiple permited,1 of 4 facilities
Virginia,1086,Yuheng,"22630 Dulles Summit Court, Sterling, VA 20166",Sterling,VA,20166,Loudoun,Mid-Atlantic,38.98905397,-77.447663,2011,2024,,Existing update,,"Amazon Data Services, Inc.",Amazon,in the name itself,,,Caterpillar,,,,15.5,79.4,39.9,-,,4.9,4.9,,,176000,52800,88000,"105,600",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"4@2500kW (2024); Eighteen (18) Caterpillar Model 3516C-HD Emergency Engine- Generators 2,500 ekW / 3,634 bhp (each); One (1) Caterpillar Model 3516C Emergency Engine- Generator 2,000 ekW / 2,937 bhp; Four (4) Caterpillar Model C175-16 Emergency Engine-Generators 3,000 ekW / 4,423 bhp (each); Eight (8) Caterpillar Model 3516C-HD Emergency Engine-Generators 2,500 ekW / 3,604 bhp (each); Two (2) Caterpillar Model 3516C-HD Emergency Engine-Generator 2,500 ekW / 3,604 bhp (each); Two (2) Caterpillar Model 3516C-HD Diesel Engine- Generator Sets 2,500 ekW / 3,634 bhp (each); Two (2) MTU Model 16V4000G83L Emergency Engine-Generators 2,500 ekW / 3,681 bhp (each); Three (3) Caterpillar Model 3516C-HD Emergency Engine- Generators 2,500 ekW / 3,634 bhp (each); One (1) Caterpillar Model 3516C-HD Emergency Engine-Generator 2,500 ekW / 3,634 bhp; One (1) MTU Model 16V4000G83L Emergency Engine-Generator 2,500 ekW / 3,681 bhp; Three (3) Caterpillar Model 3516C-HD Emergency Engine- Generators 2,500 ekW / 3,634 bhp (each); Seven (7) Caterpillar Model 3516C-HD Emergency Engine- Generators 2,500 ekW / 3,634 bhp (each); Three (3) Caterpillar Model 3516C-HD Emergency Engine- Generators 2,500 ekW / 3,634 bhp (each); Six (6) Caterpillar Model 3516C-HD Emergency Engine-Generators 2,500 ekW / 3,634 bhp (each); Four (4) Caterpillar model 3516C Emergency Engine- Generator 2,000 kW / 2,937 bhp (each); Two (2) Caterpillar Model 3516C-HD Emergency Engine-Generators 2000 ekW / 2937 bhp (each)",,-,73860_DC_Permit_2024.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Catoctin,-,no,no,21.0,33,47,61,62,36,58,24,73,0,59,58,71,0,78,80,74,71,60,66,28,79,0,75,57,75,0,"fewer than 10,000","fewer than 5,000",44000,70400,0.385,0.617,0.77,88,57200,Possible hyperscaler,1 of 4 facilities
Virginia,948,Yuheng,"24282 Quail Ridge Ln, Aldie, VA 20105",Aldie,VA,20105,Loudoun,Mid-Atlantic,38.95215417,-77.5587961,2023,2023,,New,,"Microsoft, Blue Ridge (IAD11-12-13) Data Center",Microsoft,in the name itself,,,Caterpillar & John Deere,,,,6.44,94.48,36.32,-,,2.58,2.58,,,175100,52530,87550,"105,060",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"Thirty-six (36) Caterpillar C175-16 diesel fired emergency engine gen-sets 4,376 bhp / 3,100 kW (each); Two (2) Caterpillar C15 diesel fired emergency engine gen-sets 762 bhp / 500 kW (each); Two (2) John Deere 4045 Series diesel engine driven fire pumps 140 bhp (each); Caterpillar C15 diesel fired emergency engine gen-set 762 bhp / 500 kW; Twenty (20) Caterpillar C175-16 diesel fired emergency engine gen-sets 4,376 bhp / 3,100 kW (each)",,-,74221 mNSR (2023-05-09)_59822182.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Catoctin,-,no,no,3984.0,25,31,40,45,10,30,17,0,0,32,48,19,0,61,64,49,49,10,34,20,0,0,40,44,18,0,"fewer than 10,000","fewer than 5,000",43775,70040,0.383,0.614,0.77,87.55,56907.5,Possible hyperscaler,
Texas,1210,Rosemarie,"3580 FM 471 N, Castroville TX 78253",Castroville,TX,78253,Medina,Texas,29.44560258,-98.83316,2022,2022,,New,,Microsoft Corporation,Microsoft,in permit,,,,,,,1.37,95.25,13.53,0.07,0.58,0.58,0.58,,,171800,51540,85900,"103,080",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"Microsoft plans to install the following: Two Caterpillar generators (Admin Gen 1 and 2 - 500 kW), forty Caterpillar generators (Gens 1-40 3100 kW), and twelve Caterpillar generators (Gens 41-52 3900 kW).",,-,"3580 FM 471 N, Castroville TX 78253",High (40-80%),-,-,-,-,-,-,-,-,-,Gulf Coast,Medina / Upper San Antonio,-,no,no,317.0,65,76,50,28,24,30,0,0,49,44,0,38,87,27,64,26,21,26,19,0,0,21,36,0,26,84,"fewer than 10,000","fewer than 5,000",42950,68720,0.376,0.602,0.75,85.9,55835,Possible hyperscaler,
Texas,899,Yuheng,"3441 Railport Pkwy, Midlothian, TX 76065",Midlothian,TX,76065,Ellis,Texas,32.44595588,-97.06232433,2018,2024,,Existing update,,Sharka LLC,Google,https://www.datacenterdynamics.com/en/news/google-files-to-build-fourth-data-center-at-midlothian-campus-in-texas/,,,,,,,24.74,99.25,75.74,0.28,11.51,9.02,9.97,,,170300,51090,85150,"102,180",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"âº Diesel-fired engine-driven emergency generators (Groups 1, 2, 3, 4, and 5), âº Diesel engine-driven emergency firewater pump, âº Diesel storage tanks, âº Mechanical draft cooling towers, and âº Natural gas-fired space heaters. âº CONFIDENTIAL Detailed Emissions Calculations (missing rated capacity for Group 1 (52 generators) and Group 2 (10 generators); Group3: 52 generators @ 2,750 kw; Group4: 14@ 1,750kw; Group 5: 2@ 1,400kw) ",,-,AIR NSR_153622-342012_Permits Public_20220606_Initial Application__6103496_(Nativex).pdf AIR NSR_153622-319861_Permits Facility-Confidential_20200917_Initial Application__5389796_(Nativex).pdf,Extremely High (>80%),received,-,"160,046,000",Measured in gallons - the amount is from 2023,Water use for Sharka LLC (OoP).pdf,-,-,-,-,Gulf Coast,Lower West Fork Trinity,-,no,no,21.0,42,40,18,26,38,14,18,0,40,25,0,44,77,17,19,9,18,32,9,35,0,19,23,0,41,75,"fewer than 10,000","fewer than 5,000",42575,68120,0.373,0.597,0.75,85.15,55347.5,Possible hyperscaler,
Virginia,1024,Yuheng,"10400 Harry J Parrish Blvd, Manassas, VA 20110",Manassas,VA,20110,Prince William,Mid-Atlantic,38.72810073,-77.50596777,2018,2021,,Existing update,,Cashvad Ventures LLC,CloudHQ,"address on permit is 1212 New York Avenue, Suite 1000. Washington DC, 20005, which matches website",,,Caterpillar,,,,8.5,79.4,43.5,-,,2.9,2.9,,,168000,50400,84000,"100,800",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"Fifty-six (56) Caterpillar C175- 16 emergency diesel engine gen- sets 4,423 bhp 3,000 ekW (each unit)",,-,74118 mNSR (2021-10-15)_25510898.pdf,High (40-80%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Anacostia / Occoquan,-,no,no,4585.0,30,24,50,51,19,46,15,65,46,39,40,68,0,73,62,62,57,27,52,18,70,68,49,35,71,0,"fewer than 10,000","fewer than 5,000",42000,67200,0.368,0.589,0.74,84,54600,Possible hyperscaler,
Washington,1106,Yuheng,"2101 M St NE, Quincy, WA 98848",Quincy,WA,98848,Grant,Northwest,47.25044186,-119.8140626,2022,2023,,Existing update,,Vantage Data Center,Vantage Data Centers,https://vantage-dc.com/data-center-locations/north-america/quincy-washington/,,,MTU & CAT,,,,0.91,80.0,18.0,1,2.3,2.3,2.3,,,164500,49350,82250,"98,700",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,The Vantage Data Center Phase One construction consists of Building One with the five engine- generators already in place (Model MTU 3000 kw (WA-11)). Phase Two construction consists of Building Two with 12 smaller engine generators (2@ 500kW Caterpillar life-safety generators+10@2750kw ). Phase Three construction will consist of Building Three with 44 engine generators (CAT 2750kw) for a total of 61 facility engine generators. ,,-,23AQ-E056 Vantage NOC AO FINAL 2023-08-29.pdf,Extremely High (>80%),received,-,"21,365,038",Data is from 2023,META spreadsheet for identifying records,-,-,-,-,Columbia and Northwestern United States,Lower Crab,-,yes,yes,61.0,87,7,11,7,31,26,69,0,76,59,56,19,93,93,62,19,13,31,24,86,0,85,59,53,45,97,"fewer than 10,000","fewer than 5,000",41125,65800,0.36,0.576,0.72,82.25,53462.5,Possible hyperscaler,
Virginia,958,Hannah,"22291 Shellhorn Road, Ashburn, VA 20147",Ashburn,VA,20147,Loudoun,Mid-Atlantic,38.99903203,-77.47595783,2021,2022,,Existing update,,"Quality Technology Services, LLC",QTS,,,,,,,,-,,,-,,,,,MULTIPLE PERMITED,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,multiple permited,same permit as ID 958 (22271 Shellhorn Road),,over 100 MW,74197 mNSR (2022-02-04)_35874997.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Catoctin,-,no,no,4602.0,40,53,68,64,33,58,20,76,0,58,65,75,0,86,88,81,72,53,64,25,83,0,75,67,81,0,"fewer than 10,000","fewer than 5,000",40625,65000,0.356,0.569,0.71,81.25,52812.5,multiple permited,1 of 2 facilities
Virginia,958,Yuheng,"22271 Shellhorn Road, Ashburn, VA 20147",Ashburn,VA,20147,Loudoun,Mid-Atlantic,39.00002767,-77.4749368,2020,2022,,Existing update,,"Quality Technology Services, LLC",QTS,https://qtsdatacenters.com/data-centers/ashburn-shellhorn,,,MTU,,,,18.94,98.32,30.8,-,,6.11,6.11,,,162500,48750,81250,"97,500",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"Thirty-two (32) MTU Model 16V4000 DS2250 emergency diesel engine gen-sets 2,500 ekW (2,250 ekW standby) 3,353 bhp; Thirty-two (32) MTU Model 16V4000 DS2250 emergency diesel engine gen-sets 2,500 ekW (2,250 ekW standby) 3,353 bhp; One (1) MTU Model 16V4000 DS2250 emergency diesel engine gen-set 2,500 ekW (2,250 ekW standby) 3,353 bhp",,-,74197 mNSR (2022-02-04)_35874997.pdf,Low (<10%),-,-,-,-,-,-,-,-,-,"United States, North Atlantic Coast",Middle Potomac / Catoctin,-,no,no,4362.0,39,52,67,64,33,58,21,76,0,57,64,75,0,85,87,81,72,54,63,25,82,0,74,65,80,0,"fewer than 10,000","fewer than 5,000",40625,65000,0.356,0.569,0.71,81.25,52812.5,Possible hyperscaler,1 of 2 facilities
Texas,882,Yuheng,"4901 Alliance Gateway Fwy, Fort Worth, TX 76177",Fort Worth,TX,76177,Tarrant,Texas,32.98547218,-97.24252403,2016,2016,,New,,Winner LLC,Meta,https://www.datacenterdynamics.com/en/news/facebook-starts-work-on-1bn-fort-worth-site/,,,Caterpillar,,,,0.41,49.9,4.11,1.04,0.27,0.27,0.27,,,162000,48600,81000,"97,200",Possible hyperscaler,large-scale,Possible hyperscaler,Possible hyperscaler,"54 Generators in total; 3,000 kW Caterpillar",,-,AIR NSR_134231-238603_Permits Public_20150715_Initial Application__3468187_(Nativex).pdf AIR NSR_134231-249348_Permits Public_20160719_Project File Folder__1258173_(Nativex).pdf,High (40-80%),-,-,-,-,-,-,-,-,-,Gulf Coast,Denton,-,no,no,469.0,39,47,40,38,18,28,19,0,50,30,35,29,0,20,41,23,32,18,20,35,0,38,28,19,27,0,"fewer than 10,000","fewer than 5,000",40500,64800,0.355,0.568,0.71,81,52650,Possible hyperscaler,
